record_id,year,state,district,agro_climatic_region,crop,season,annual_rainfall_mm,rainfall_anomaly_pct,avg_temperature_c,max_temperature_c,min_temperature_c,temperature_anomaly_c,humidity_pct,soil_moisture_pct,soil_ph,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,irrigation_pct,hot_days,consecutive_dry_days,heavy_rain_days,cultivated_area_ha,drought_risk_score,drought_risk,heat_risk_score,heat_risk,flood_risk_score,flood_risk,overall_climate_risk_score,overall_climate_risk,yield_tonnes_per_ha,production_tonnes,rainfall_requirement_ratio,rainfall_deficit_index,heat_stress_index,drought_stress_index,soil_fertility_index,irrigation_adequacy,extreme_weather_days,rainfall_soil_interaction,temperature_rainfall_interaction,growing_condition_score
1,2022,Maharashtra,Jalgaon,Khandesh,Wheat,Rabi,801.8,11.4,27.44,35.91,18.42,-0.06,55.5,56.5,7.21,183.8,35.4,284.5,81.1,15,15,5,7648.9,3.8,Low,16.2,Low,22.7,Low,12.6,Low,0.356,2724.7,1.6036,0.0,0.5027410714285713,0.14485238095238095,0.632875,1.4745454545454544,37.5,1.2080453333333332,-0.00684,70.12305059523811
2,2023,Maharashtra,Raigad,Konkan,Cotton,Kharif,2428.3,-2.9,29.99,40.47,19.58,2.99,69.5,52.4,8.19,312.6,18.8,178.8,51.5,57,0,15,5705.5,0.0,Low,72.8,High,100.0,High,49.0,Medium,0.08,456.4,3.0,0.057999999999999996,0.7424910714285714,0.14413333333333334,0.4550250000000001,1.1444444444444444,79.5,2.0959999999999996,-0.08671000000000001,46.93646726190477
3,2005,Maharashtra,Jalna,Marathwada,Maize,Kharif,1091.0,55.9,26.92,37.31,18.67,-0.08,59.7,65.6,6.08,200.6,36.5,187.3,35.0,29,0,6,5913.6,0.0,Low,34.4,Medium,24.8,Low,17.6,Low,1.382,8170.3,1.6784615384615384,0.0,0.4139910714285716,0.09633333333333335,0.561525,0.7777777777777778,38.0,1.468094358974359,-0.04472,66.761830509768
4,2009,Maharashtra,Ahmednagar,Western Maharashtra,Maize,Kharif,625.5,-21.8,27.97,33.42,23.11,2.47,54.8,42.9,6.63,340.5,39.6,162.1,52.9,4,35,3,1599.3,9.8,Low,3.0,Low,6.8,Low,6.8,Low,1.944,3108.3,0.9623076923076923,0.436,0.025714285714285714,0.4567,0.7206125000000001,1.1755555555555555,43.5,0.55044,-0.53846,84.83833058608059
5,2017,Maharashtra,Washim,Vidarbha,Cotton,Kharif,1024.0,7.8,29.18,39.37,23.75,2.18,66.2,61.0,7.12,199.2,29.7,378.1,63.9,56,0,11,4562.6,0.0,Low,66.1,Medium,26.4,Low,28.4,Low,0.215,982.1,1.28,0.0,0.6604374999999998,0.08276666666666666,0.67205,1.42,72.5,1.0410666666666666,0.17004000000000002,75.13443749999999
6,2010,Maharashtra,Yavatmal,Vidarbha,Cotton,Kharif,1123.3,18.2,25.59,34.7,14.87,-1.41,76.9,63.4,6.47,118.1,16.3,214.6,43.7,11,0,3,3502.0,0.0,Low,8.2,Low,15.2,Low,6.5,Low,0.145,506.2,1.4041249999999998,0.0,0.07071428571428572,0.09496666666666667,0.4713625,0.9711111111111111,15.5,1.1869536666666665,-0.25662,77.96000793650792
7,2024,Maharashtra,Osmanabad,Marathwada,Soybean,Kharif,501.3,-28.4,28.17,35.96,18.77,1.17,60.3,52.7,8.09,323.1,23.7,445.0,25.3,17,35,6,4511.8,20.5,Low,18.0,Low,13.5,Low,17.9,Low,0.7,3158.1,0.6684,0.568,0.24403571428571436,0.49783333333333335,0.6316875000000001,0.6325000000000001,61.0,0.4696624,-0.33227999999999996,70.14988095238095
8,2018,Maharashtra,Raigad,Konkan,Sugarcane,Annual,1526.3,-38.9,26.01,37.24,15.85,-0.99,89.1,53.7,7.55,283.9,43.6,369.1,100.0,34,13,9,2509.5,3.2,Low,37.8,Medium,20.2,Low,18.9,Low,35.909,90113.8,1.0175333333333334,0.778,0.30382142857142874,0.39901428571428565,0.7362375,1.25,60.5,0.7285538666666668,0.38510999999999995,84.19520634920636
9,2004,Maharashtra,Akola,Vidarbha,Maize,Kharif,867.9,-8.6,28.09,39.13,24.55,1.09,56.8,45.0,7.05,203.8,17.9,80.0,0.0,39,18,9,18318.1,4.5,Low,51.9,Medium,20.2,Low,24.1,Low,1.531,28037.1,1.3352307692307692,0.172,0.6034017857142859,0.33734285714285717,0.475625,0.0,70.5,0.8011384615384615,-0.09374,46.874293727106235
10,2005,Maharashtra,Nandurbar,Khandesh,Rice,Kharif,632.6,-12.1,28.94,34.72,23.35,1.44,75.5,33.5,7.21,131.4,10.3,80.0,39.3,12,28,5,1202.0,30.5,Low,9.0,Low,11.2,Low,18.6,Low,0.846,1016.6,0.5271666666666667,0.242,0.07714285714285715,0.4037333333333333,0.372375,0.6046153846153846,47.5,0.23546777777777778,-0.17424,59.435442612942616
11,2006,Maharashtra,Gondia,Vidarbha,Sugarcane,Annual,844.5,-11.1,25.19,38.11,15.35,-1.81,67.2,33.6,7.37,160.4,19.2,309.1,88.8,43,17,8,4924.6,20.2,Low,49.3,Medium,18.0,Low,29.3,Low,18.49,91056.5,0.563,0.222,0.42149107142857145,0.29975714285714283,0.52955,1.1099999999999999,72.0,0.252224,0.20091,65.9453005952381
12,2012,Maharashtra,Dhule,Khandesh,Soybean,Kharif,832.0,15.6,26.19,34.2,18.24,-1.31,46.1,63.4,6.79,196.5,47.1,484.4,48.9,0,10,5,863.2,2.5,Low,0.0,Low,11.2,Low,3.9,Low,0.736,635.3,1.1093333333333333,0.0,0.013750000000000196,0.13262380952380953,0.8492625,1.2225,17.5,0.9377564444444444,-0.20435999999999999,91.86344444444444
13,2025,Maharashtra,Latur,Marathwada,Cotton,Kharif,742.0,6.0,26.67,34.33,16.5,-0.33,56.5,39.9,6.5,318.7,33.6,297.3,39.7,3,41,3,6808.5,10.2,Low,2.2,Low,6.8,Low,6.7,Low,0.291,1982.1,0.9275,0.0,0.019285714285714288,0.3530142857142857,0.7283375,0.8822222222222222,48.5,0.49343,-0.019799999999999998,81.35357539682539
14,2025,Maharashtra,Osmanabad,Marathwada,Sugarcane,Annual,669.9,-4.3,27.12,35.51,20.13,0.12,42.9,31.9,6.31,419.4,41.7,284.7,77.1,30,44,2,1461.4,35.0,Medium,25.3,Low,4.5,Low,24.2,Low,40.282,58868.7,0.4466,0.086,0.19285714285714287,0.38523809523809527,0.7896,0.9637499999999999,77.0,0.18995386666666667,-0.0051600000000000005,71.45747619047619
15,2021,Maharashtra,Bhandara,Vidarbha,Cotton,Kharif,825.3,-13.1,27.98,39.53,19.18,0.98,64.1,35.2,6.08,318.7,51.6,328.3,46.4,37,22,7,2405.7,5.5,Low,52.7,Medium,15.7,Low,23.6,Low,0.28,674.5,1.031625,0.262,0.549294642857143,0.3722523809523809,0.7733375,1.031111111111111,69.5,0.48417600000000005,-0.12838,76.0869136904762
16,2010,Maharashtra,Jalgaon,Khandesh,Cotton,Kharif,856.5,19.0,25.53,34.58,14.87,-1.97,63.7,34.5,7.07,251.3,26.4,347.3,41.5,13,22,6,13942.9,5.5,Low,9.8,Low,13.5,Low,8.9,Low,0.271,3784.8,1.070625,0.0,0.08357142857142857,0.2877857142857143,0.6789624999999999,0.9222222222222223,44.0,0.4924875,-0.3743,78.79303968253969
