record_id,year,state,district,agro_climatic_region,crop,season,annual_rainfall_mm,rainfall_anomaly_pct,avg_temperature_c,max_temperature_c,min_temperature_c,temperature_anomaly_c,humidity_pct,soil_moisture_pct,soil_ph,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,irrigation_pct,hot_days,consecutive_dry_days,heavy_rain_days,cultivated_area_ha,drought_risk_score,drought_risk,heat_risk_score,heat_risk,flood_risk_score,flood_risk,overall_climate_risk_score,overall_climate_risk,yield_tonnes_per_ha,production_tonnes
1,2022,Maharashtra,Jalgaon,Khandesh,Wheat,Rabi,801.8,11.4,27.44,35.91,18.42,-0.06,55.5,56.5,7.21,183.8,35.4,284.5,81.1,15,15,5,7648.9,3.8,Low,16.2,Low,22.7,Low,12.6,Low,0.356,2724.7
2,2023,Maharashtra,Raigad,Konkan,Cotton,Kharif,2428.3,-2.9,29.99,40.47,19.58,2.99,69.5,52.4,8.19,312.6,18.8,178.8,51.5,57,0,15,5705.5,0.0,Low,72.8,High,100.0,High,49.0,Medium,0.08,456.4
3,2005,Maharashtra,Jalna,Marathwada,Maize,Kharif,1091.0,55.9,26.92,37.31,18.67,-0.08,59.7,65.6,6.08,200.6,36.5,187.3,35.0,29,0,6,5913.6,0.0,Low,34.4,Medium,24.8,Low,17.6,Low,1.382,8170.3
4,2009,Maharashtra,Ahmednagar,Western Maharashtra,Maize,Kharif,625.5,-21.8,27.97,33.42,23.11,2.47,54.8,42.9,6.63,340.5,39.6,162.1,52.9,4,35,3,1599.3,9.8,Low,3.0,Low,6.8,Low,6.8,Low,1.944,3108.3
5,2017,Maharashtra,Washim,Vidarbha,Cotton,Kharif,1024.0,7.8,29.18,39.37,23.75,2.18,66.2,61.0,7.12,199.2,29.7,378.1,63.9,56,0,11,4562.6,0.0,Low,66.1,Medium,26.4,Low,28.4,Low,0.215,982.1
6,2010,Maharashtra,Yavatmal,Vidarbha,Cotton,Kharif,1123.3,18.2,25.59,34.7,14.87,-1.41,76.9,63.4,6.47,118.1,16.3,214.6,43.7,11,0,3,3502.0,0.0,Low,8.2,Low,15.2,Low,6.5,Low,0.145,506.2
7,2024,Maharashtra,Osmanabad,Marathwada,Soybean,Kharif,501.3,-28.4,28.17,35.96,18.77,1.17,60.3,52.7,8.09,323.1,23.7,445.0,25.3,17,35,6,4511.8,20.5,Low,18.0,Low,13.5,Low,17.9,Low,0.7,3158.1
8,2018,Maharashtra,Raigad,Konkan,Sugarcane,Annual,1526.3,-38.9,26.01,37.24,15.85,-0.99,89.1,53.7,7.55,283.9,43.6,369.1,100.0,34,13,9,2509.5,3.2,Low,37.8,Medium,20.2,Low,18.9,Low,35.909,90113.8
9,2004,Maharashtra,Akola,Vidarbha,Maize,Kharif,867.9,-8.6,28.09,39.13,24.55,1.09,56.8,45.0,7.05,203.8,17.9,80.0,0.0,39,18,9,18318.1,4.5,Low,51.9,Medium,20.2,Low,24.1,Low,1.531,28037.1
10,2005,Maharashtra,Nandurbar,Khandesh,Rice,Kharif,632.6,-12.1,28.94,34.72,23.35,1.44,75.5,33.5,7.21,131.4,10.3,80.0,39.3,12,28,5,1202.0,30.5,Low,9.0,Low,11.2,Low,18.6,Low,0.846,1016.6
