year,yield_tonnes_per_ha,annual_rainfall_mm,avg_temperature_c,overall_climate_risk_score
2001,5.089855813953489,1102.523488372093,26.695232558139537,18.579302325581395
2002,5.742956097560976,1114.8548780487804,26.664024390243902,18.138780487804876
2003,5.9227087378640775,1134.7669902912621,26.694611650485438,18.61601941747573
2004,4.900616915422885,1120.352736318408,26.780746268656717,18.621890547263682
2005,5.278114349775786,1044.939461883408,26.860515695067267,18.810762331838564
2006,4.803405128205128,1158.4882051282052,26.882923076923078,19.402820512820515
2007,5.858370056497175,1130.455649717514,26.767118644067796,18.624011299435026
2008,5.056284671532846,1093.1172749391728,26.87021897810219,18.496350364963504
2009,5.525030379746836,1083.6956962025315,27.056632911392406,18.506075949367087
2010,4.993880407124682,1105.145038167939,26.896081424936387,18.677862595419846
2011,5.440610421836228,1107.2682382133994,27.011116625310173,19.353101736972704
2012,5.982557251908397,1154.6356234096693,27.0376844783715,19.268702290076337
2013,6.034387804878049,1125.4165853658537,27.11507317073171,19.630243902439023
2014,5.120253886010363,1083.9018134715025,27.103160621761656,19.53082901554404
2015,5.111029100529101,1171.6373015873016,27.189894179894182,20.37116402116402
2016,5.866014527845037,1083.0898305084745,27.18087167070218,18.918886198547217
2017,5.43539608801956,1109.583129584352,27.15484107579462,19.41882640586797
2018,5.453312335958005,1155.4713910761154,27.076089238845142,19.234120734908135
2019,6.55945792079208,1159.6601485148515,27.242103960396037,20.26311881188119
2020,7.1335512820512825,1140.9858974358974,27.21841025641026,20.34076923076923
2021,5.458010025062657,1088.8213032581455,27.20877192982456,20.244110275689223
2022,5.391113636363636,1060.5972222222222,27.15972222222222,19.021969696969695
2023,5.951319796954315,1089.28807106599,27.29545685279188,19.753807106598984
2024,5.690514634146341,1068.6756097560976,27.519243902439023,20.41390243902439
2025,6.510670076726343,1190.602557544757,27.423606138107417,19.98312020460358
